City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
331,Ubinskoye,RU,55.3068,79.6802,53.56,89,55,4.36,broken clouds
332,Concepcion Del Oro,MX,24.6333,-101.4167,76.14,30,87,6.04,overcast clouds
333,Ust-Barguzin,RU,53.45,108.9833,51.58,100,100,1.77,overcast clouds
334,Santa Rosa,PH,14.3122,121.1114,80.11,88,100,3.02,overcast clouds
335,Walvis Bay,NA,-22.9575,14.5053,74.35,21,0,12.66,clear sky
336,Porbandar,IN,21.6422,69.6093,81.39,87,100,15.19,overcast clouds
337,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,90,47,12.75,scattered clouds
338,Portland,US,45.5234,-122.6762,81.61,44,20,8.05,few clouds
339,Santa Clara,CU,22.4,-79.9667,83.86,70,75,11.5,broken clouds
340,Avera,US,33.194,-82.5271,91.45,48,59,6.76,broken clouds
341,Karratha,AU,-20.7377,116.8463,63.81,46,2,7.54,clear sky
342,Acarau,BR,-2.8856,-40.12,79.25,75,65,15.05,broken clouds
343,Kaitangata,NZ,-46.2817,169.8464,38.66,91,46,10.69,scattered clouds
